min-Height,max-Height,60,120,180,240,300,360,365
0,500,6248,5592,3881,4099,5349,5398,108
500,1000,6047,4314,4882,5251,7186,7078,281
1000,1500,6198,5628,4434,4795,7505,7827,592
1500,2000,6470,6779,3285,4353,7689,7271,890
2000,2500,6835,6063,2333,3368,5922,7004,1176
2500,3000,6734,4784,2079,2440,4552,5865,782
3000,3500,5648,4169,1799,1678,2963,5237,737
3500,4000,4369,3087,1684,1548,2808,3400,489
4000,4500,4213,2782,1757,741,2146,1902,507
4500,5000,3488,1918,1088,351,1538,1892,570
5000,5500,2412,1595,1064,322,1543,1729,172
5500,6000,1241,1208,643,495,1252,627,99
6000,6500,255,809,268,440,1034,491,12
6500,7000,132,242,197,615,1067,320,60
7000,7500,121,332,355,650,1004,364,195
7500,8000,216,522,614,896,1100,598,249
8000,8500,259,798,1068,1077,1662,1084,329
8500,9000,212,1182,1421,1341,1567,1233,107
9000,9500,434,1483,1839,1612,1804,1165,32
9500,10000,444,1521,2264,1730,1737,1212,25
10000,10500,531,1824,2785,1622,1852,1549,0
10500,11000,461,1545,2785,1689,1179,1256,0
11000,11500,379,1564,3003,1860,1281,1700,0
11500,12000,541,1437,3254,2655,1490,1356,0
12000,99999,3351,4522,19330,19061,6557,3622,10
-1,99999,22566,24118,21742,25168,16023,18636,59
-9999,99999,0,0,0,0,0,0,0
