ら戳,Θユ计,Θユ肂,Θユ掸计,祇︽秖舦基计,害禴翴计
 101/01/02,"2,104,640,545",50472,"497,889","6,952.21",-119.87
 101/01/03,"2,640,781,030",64138886194,"623,192","7,053.38",101.17
 101/01/04,"2,983,756,821",75845629353,"728,417","7,082.97",29.59
 101/01/05,"3,062,757,248",76850752698,"737,780","7,130.86",47.89
 101/01/06,"3,314,147,435",88101921548,"823,810","7,120.51",-10.35
 101/01/09,"2,610,433,477",71323370369,"634,137","7,093.04",-27.47
 101/01/10,"3,595,611,551",97168542017,"869,327","7,178.87",85.83
 101/01/11,"3,322,390,467",88786671892,"802,539","7,188.21",9.34
 101/01/12,"2,969,248,375",78947910460,"731,328","7,186.58",-1.63
 101/01/13,"3,497,838,901",99286437370,"819,762","7,181.54",-5.04
 101/01/16,"3,184,795,667",76842611338,"719,725","7,103.62",-77.92
 101/01/17,"3,720,277,205",1.01133E+11,"899,597","7,221.08",117.46
 101/01/18,"4,088,756,925",1.13989E+11,"1,020,420","7,233.69",12.61
 101/01/30,"4,540,373,544",1.43901E+11,"1,113,727","7,407.41",173.72
 101/01/31,"5,486,734,180",1.62361E+11,"1,283,951","7,517.08",109.67
 101/01/31,"5,486,734,180",1.62361E+11,"1,283,951","7,517.08",109.67
 101/01/13,"3,497,838,901",99286437370,"819,762","7,181.54",-5.04
 106/04/10,"3,497,838,901",99286437370,"819,762","7,181.54",-5.04
